id1,id2,matching_probability
438,2023,0.9
439,2018,1.0
44,946,1.0
440,2015,1.0
442,2081,1.0
444,2080,1.0
445,2083,1.0
447,2072,1.0
450,2049,1.0
451,2031,1.0
452,2046,1.0
453,2069,1.0
454,1831,1.0
458,1059,1.0
46,882,1.0
467,1721,1.0
468,1734,0.9
469,1647,1.0
470,1729,1.0
471,1651,1.0
472,1724,1.0
473,1717,1.0
475,1716,1.0
476,1730,1.0
477,1731,0.9
478,1725,1.0
479,1733,1.0
48,447,1.0
480,1641,1.0
481,1723,1.0
485,1686,1.0
488,1695,1.0
489,1829,1.0
491,1823,1.0
492,1801,1.0
493,1824,1.0
497,1784,0.9
499,1886,0.9
5,2854,0.9
50,392,1.0
501,1810,1.0
502,1674,1.0
507,1887,1.0
508,1812,1.0
509,1891,1.0
510,1672,1.0
511,1684,1.0
516,1486,1.0
517,1450,1.0
518,1418,1.0
519,1494,1.0
520,1484,1.0
522,1497,1.0
525,1487,1.0
528,1467,1.0
53,418,1.0
530,1493,1.0
532,1419,1.0
533,1495,1.0
534,1478,1.0
536,1492,1.0
537,1498,1.0
538,1453,1.0
539,1488,1.0
541,2250,1.0
543,1423,1.0
544,2276,1.0
546,2263,1.0
549,2249,1.0
553,2275,0.9
554,2269,1.0
558,2225,0.9
560,2265,1.0
561,2277,1.0
564,2271,1.0
565,2273,1.0
568,2220,1.0
569,2279,1.0
570,836,1.0
571,573,1.0
572,859,1.0
574,860,1.0
576,1107,1.0
577,787,1.0
579,950,1.0
580,536,1.0
582,1270,1.0
583,1243,1.0
584,1276,1.0
592,367,1.0
594,1245,1.0
596,1247,1.0
597,1249,0.9
599,1237,1.0
600,1236,1.0
601,1246,0.9
602,368,1.0
604,1240,1.0
605,1244,1.0
606,1235,1.0
607,1213,0.9
608,1253,0.9
61,384,1.0
610,1242,0.8
611,1233,1.0
612,1251,1.0
613,1250,1.0
615,1241,1.0
616,1238,1.0
617,1320,1.0
618,1324,1.0
619,1328,1.0
62,387,1.0
620,1321,1.0
621,1336,1.0
622,1313,0.9
623,1335,1.0
626,1329,1.0
627,1322,1.0
629,1154,1.0
63,477,1.0
630,1325,0.9
631,1343,1.0
632,1344,1.0
633,1332,1.0
634,1317,1.0
636,1340,1.0
638,1337,0.9
639,1319,0.9
64,386,1.0
640,1327,1.0
641,1318,1.0
642,1345,0.9
643,1349,1.0
644,1314,1.0
652,1353,1.0
653,1368,1.0
654,1347,1.0
657,1367,1.0
659,1352,1.0
66,394,1.0
660,1364,1.0
661,1365,0.8
663,1359,1.0
664,1362,1.0
665,1350,1.0
666,1371,1.0
667,1356,1.0
668,1363,0.666666666667
67,433,1.0
670,357,1.0
672,1358,1.0
673,1357,1.0
674,1231,0.9
676,1369,1.0
677,1230,1.0
678,1339,0.9
679,1220,0.9
680,1257,1.0
681,1234,1.0
682,1215,1.0
683,1216,1.0
684,1221,1.0
686,1225,1.0
69,427,1.0
691,1226,1.0
692,1258,1.0
693,1260,0.9
694,1229,1.0
695,1259,1.0
696,1224,1.0
698,1232,1.0
699,1227,1.0
7,2254,0.9
70,459,1.0
700,1239,1.0
701,1223,1.0
702,375,1.0
703,1222,1.0
704,1263,1.0
705,1228,1.0
706,359,0.9
71,472,1.0
710,1255,1.0
712,1278,1.0
713,1281,1.0
715,1269,1.0
716,2118,1.0
717,1279,0.766666666667
718,1287,0.9
719,1271,1.0
720,1268,0.8
722,1264,1.0
723,360,0.9
728,1273,1.0
729,1274,0.9
73,725,1.0
730,1282,1.0
731,1266,1.0
732,1148,1.0
734,1262,1.0
735,1277,1.0
736,1163,1.0
737,1152,1.0
739,1159,1.0
74,469,1.0
740,1153,1.0
741,1130,1.0
742,1144,1.0
747,1151,1.0
749,1143,1.0
75,527,1.0
750,1164,1.0
751,1136,1.0
752,1140,1.0
753,1147,1.0
754,1129,0.9
755,964,1.0
756,1156,1.0
757,1171,1.0
759,1170,1.0
76,473,1.0
760,1146,1.0
761,1206,1.0
764,1173,1.0
765,1167,1.0
766,1181,1.0
767,1219,0.6
768,1179,1.0
769,1175,1.0
77,593,1.0
770,1207,1.0
771,1192,1.0
773,1176,1.0
774,1190,1.0
775,1210,1.0
776,1194,1.0
778,1191,0.9
779,1193,1.0
780,1208,1.0
781,1187,1.0
782,1180,0.8
783,1188,1.0
784,955,1.0
785,1186,1.0
786,1198,1.0
787,1209,1.0
788,1200,1.0
789,1205,1.0
79,842,1.0
790,366,1.0
791,982,0.9
792,957,1.0
794,978,1.0
795,958,1.0
797,985,1.0
798,972,1.0
799,967,1.0
8,1931,0.766666666667
800,952,1.0
801,962,0.9
802,951,1.0
804,975,1.0
805,961,1.0
806,971,1.0
808,974,1.0
809,966,1.0
81,606,1.0
810,976,1.0
811,959,1.0
812,997,1.0
813,988,1.0
814,984,1.0
815,991,1.0
816,973,0.9
817,1082,0.9
818,992,1.0
819,970,1.0
820,1117,1.0
821,1071,1.0
824,1080,1.0
826,1074,1.0
827,1090,1.0
828,1131,1.0
829,1059,1.0
83,947,1.0
830,1103,1.0
831,1089,1.0
